Function,Code,2000_label,2001_label,2002_label,2003_label,2004_label,2005_label,2006_label,2007_label,2008_label,2009_label,2010_label,2011_label,2012_label,2013_label,2014_label,2015_label,2016_label,2017_label
National_Defense,050,304004,334705,362007,455983,490526,505740,556266,625823,696233,697562,721188,717035,681423,610157,622284,598409,624117,656339
International_Affairs,150,22642,20162,25108,31689,45135,32847,32712,68380,47910,63376,60595,53589,93339,40553,57489,63258,50464,66686
General Science_Space_and_Technology,250,19248,20989,21978,23012,23367,24329,25025,25380,26793,34103,30088,29653,29227,27964,29443,29922,31604,32204
Energy,270,-1185,117,399,574,3203,1309,304,654,4228,42805,7737,6712,7745,8445,5433,6394,5331,5892
Natural_Resources_and_Environment,300,25003,28957,31098,31771,32845,33000,38063,33732,37156,57392,39657,35356,36959,41038,37721,35675,41530,44415
Agriculture,350,33528,28886,23558,24637,32729,29235,25624,22784,17449,24136,19847,21510,20860,27436,24461,16942,37543,14200
Commerce_and_Housing_Credit,370,15429,12338,11240,14847,14135,14227,14301,10034,218233,451669,-118992,-54210,12406,-36505,-67658,-2192,7000,-14218
Transportation,400,55375,67354,68849,68730,71060,76235,75691,78682,81490,124995,100089,86511,88628,97860,87039,85436,90248,92330
Community_and_Regional_Development,450,11259,14525,23021,16699,18136,84495,31100,17641,41511,23949,21214,15255,18504,51066,16532,17452,17963,43150
Education_Training_Employment_and_Social_Services,500,49477,63509,79882,87652,92016,99978,125802,93636,91344,167555,95155,76539,91653,71170,87797,119617,110552,148382
Health,550,161470,181676,206030,231652,251401,251746,295165,244228,285264,373616,406212,359723,361897,338974,416582,496077,516047,555964
Medicare,570,200588,217096,234428,249947,271656,303410,365371,385008,406561,436987,452618,502275,484282,507813,527580,547592,604450,607068
Income_Security,600,249761,273506,309908,329680,334368,349040,351094,368026,426172,610571,624042,583672,548860,533629,525988,515636,524481,514168
Social_Security,650,412032,440370,461930,476571,496047,531657,552225,588962,619667,689801,706829,731730,777604,816453,854238,892006,920079,946159
Veterans_Benefits_and_Services,700,45420,47513,52040,59033,60447,69201,70971,79553,88311,96948,124444,123124,124524,136552,166232,160969,163856,179256
Administration_of_Justice,750,27424,31910,37056,39604,45673,40574,42669,47024,49934,57536,56155,53579,55327,51659,55683,60383,56563,65712
General_Government,800,13025,16105,17925,25208,23791,16868,19662,18621,21532,30209,23645,25824,26539,25992,31217,21747,26322,23468
Net_Interest,900,222951,206164,170947,153150,160177,183974,226603,237138,252729,186904,196193,230471,219921,220895,228968,223196,240033,262535
,,-42581,-47011,-47392,-54382,-58537,-65224,-68250,-82238,-86242,-92639,-82116,-88467,-103536,-92785,-88044,-115803,-95251,-89826
