Code,Function,Show Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
050,National_Defense,National Defense,1.00,1.10,1.19,1.50,1.61,1.66,1.83,2.06,2.29,2.29,2.37,2.36,2.24,2.01,2.05,1.97,2.05,2.16,
150,International_Affairs,International Affairs,1.00,0.89,1.11,1.40,1.99,1.45,1.44,3.02,2.12,2.80,2.68,2.37,4.12,1.79,2.54,2.79,2.23,2.95,
250,General_Science_Space_and_Technology,"General Science, Space, and Technology",1.00,1.09,1.14,1.20,1.21,1.26,1.30,1.32,1.39,1.77,1.56,1.54,1.52,1.45,1.53,1.55,1.64,1.67,
270,Energy,Energy,1.00,-0.10,-0.34,-0.48,-2.70,-1.10,-0.26,-0.55,-3.57,-36.12,-6.53,-5.66,-6.54,-7.13,-4.58,-5.40,-4.50,-4.97,
300,Natural_Resources_and_Environment,Natural Resources and Environment,1.00,1.16,1.24,1.27,1.31,1.32,1.52,1.35,1.49,2.30,1.59,1.41,1.48,1.64,1.51,1.43,1.66,1.78,
350,Agriculture,Agriculture,1.00,0.86,0.70,0.73,0.98,0.87,0.76,0.68,0.52,0.72,0.59,0.64,0.62,0.82,0.73,0.51,1.12,0.42,
370,Commerce_and_Housing_Credit,Commerce and Housing Credit,1.00,0.80,0.73,0.96,0.92,0.92,0.93,0.65,14.14,29.27,-7.71,-3.51,0.80,-2.37,-4.39,-0.14,0.45,-0.92,
400,Transportation,Transportation,1.00,1.22,1.24,1.24,1.28,1.38,1.37,1.42,1.47,2.26,1.81,1.56,1.60,1.77,1.57,1.54,1.63,1.67,
450,Community_and_Regional_Development,Community and Regional Development,1.00,1.29,2.04,1.48,1.61,7.50,2.76,1.57,3.69,2.13,1.88,1.35,1.64,4.54,1.47,1.55,1.60,3.83,
500,Education_Training_Employment_and_Social_Services,"Education, Training, Employment, and Social Services",1.00,1.28,1.61,1.77,1.86,2.02,2.54,1.89,1.85,3.39,1.92,1.55,1.85,1.44,1.77,2.42,2.23,3.00,
550,Health,Health,1.00,1.13,1.28,1.43,1.56,1.56,1.83,1.51,1.77,2.31,2.52,2.23,2.24,2.10,2.58,3.07,3.20,3.44,
570,Medicare,Medicare,1.00,1.08,1.17,1.25,1.35,1.51,1.82,1.92,2.03,2.18,2.26,2.50,2.41,2.53,2.63,2.73,3.01,3.03,
600,Income_Security,Income Security,1.00,1.10,1.24,1.32,1.34,1.40,1.41,1.47,1.71,2.44,2.50,2.34,2.20,2.14,2.11,2.06,2.10,2.06,
650,Social_Security,Social Security,1.00,1.07,1.12,1.16,1.20,1.29,1.34,1.43,1.50,1.67,1.72,1.78,1.89,1.98,2.07,2.16,2.23,2.30,
700,Veterans_Benefits_and_Services,Veterans Benefits and Services,1.00,1.05,1.15,1.30,1.33,1.52,1.56,1.75,1.94,2.13,2.74,2.71,2.74,3.01,3.66,3.54,3.61,3.95,
750,Administration_of_Justice,Administration of Justice,1.00,1.16,1.35,1.44,1.67,1.48,1.56,1.71,1.82,2.10,2.05,1.95,2.02,1.88,2.03,2.20,2.06,2.40,
800,General_Government,General Government,1.00,1.24,1.38,1.94,1.83,1.30,1.51,1.43,1.65,2.32,1.82,1.98,2.04,2.00,2.40,1.67,2.02,1.80,
900,Net_Interest,Net Interest,1.00,0.92,0.77,0.69,0.72,0.83,1.02,1.06,1.13,0.84,0.88,1.03,0.99,0.99,1.03,1.00,1.08,1.18,
950,Undistributed_Offsetting_Receipts,Undistributed Offsetting Receipts,1.00,1.10,1.11,1.28,1.37,1.53,1.60,1.93,2.03,2.18,1.93,2.08,2.43,2.18,2.07,2.72,2.24,2.11,
